code,building,drawing,sheet,floor,layer,direction,zone_text,zone_kind,x1_m,x2_m,y1_m,y2_m,axis,pano_ids,diameter_mm,spacing_cm,length_cm,classification,status,resolution,note,category,bar_count,level_start,level_end,orientation,lap_anchorage,anchorage,face_edge,edge,wall_parents,physical_wall_id,element_tags,geometry_special,source,geometry_pending,notation,section,bar_type,column_tags,n_columns,family,longitudinal,stirrups
LT1:200-I:01,LT1,2017_67-200-I-Model,200-I,FUNDACION INFERIOR,both,BOTH,malla general inferior,GENERAL,0.0,42.5,-16.15,0.0,,,12,20,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:200-I:02,LT1,2017_67-200-I-Model,200-I,FUNDACION INFERIOR,both,BOTH,E-F/1-2,RECT,0.0,10.0,-8.9,0.0,,,12,12,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:200-I:03,LT1,2017_67-200-I-Model,200-I,FUNDACION INFERIOR,both,BOTH,E-F/2-3,RECT,0.0,10.0,-16.15,-8.9,,,22,13,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:200-S:01,LT1,2017_67-200-S-Model,200-S,FUNDACION SUPERIOR,both,BOTH,malla general superior,GENERAL,0.0,42.5,-16.15,0.0,,,12,20,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:200-S:05,LT1,2017_67-200-S-Model,200-S,FUNDACION SUPERIOR,both,BOTH,E-F/2-3,RECT,0.0,10.0,-16.15,-8.9,,,16,14,,STIRRUP,NEEDS_NOTATION_CONFIRMATION,RESOLVED,"podria tratarse de estribos, no de malla",mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:200-S:06,LT1,2017_67-200-S-Model,200-S,FUNDACION SUPERIOR,both,BOTH,E-F/2-3,RECT,0.0,10.0,-16.15,-8.9,,,12,12,,STIRRUP,NEEDS_NOTATION_CONFIRMATION,RESOLVED,"podria tratarse de estribos, no de malla",mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:201:01,LT1,2017_67-201-Model,201,LOSA CIELO 1° SUBTERRANEO,both,BOTH,malla general (equivalente sup=inf),GENERAL,0.0,42.5,-16.15,0.0,,PISO_1_P11;PISO_1_P12;PISO_1_P21;PISO_1_P22;PISO_1_P31;PISO_1_P32;PISO_1_P41;PISO_1_P42;PISO_1_P51;PISO_1_P52,8,18,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:201:02,LT1,2017_67-201-Model,201,LOSA CIELO 1° SUBTERRANEO,both,BOTH,3-2/E-F,RECT,0.0,10.0,-16.15,-8.9,,PISO_1_P12,8,18,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:201:03,LT1,2017_67-201-Model,201,LOSA CIELO 1° SUBTERRANEO,both,BOTH,3-2/E-F,RECT,0.0,10.0,-16.15,-8.9,,PISO_1_P12,10,14,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:201:04,LT1,2017_67-201-Model,201,LOSA CIELO 1° SUBTERRANEO,both,BOTH,E-F/1-2,RECT,0.0,10.0,-8.9,0.0,,PISO_1_P11,8,18,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:201:05,LT1,2017_67-201-Model,201,LOSA CIELO 1° SUBTERRANEO,both,BOTH,E-F/1-2,RECT,0.0,10.0,-8.9,0.0,,PISO_1_P11,8,14,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:201:06,LT1,2017_67-201-Model,201,LOSA CIELO 1° SUBTERRANEO,both,BOTH,E-F/1-2,RECT,0.0,10.0,-8.9,0.0,,PISO_1_P11,8,16,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:201:07,LT1,2017_67-201-Model,201,LOSA CIELO 1° SUBTERRANEO,both,BOTH,E-F/1-2,RECT,0.0,10.0,-8.9,0.0,,PISO_1_P11,10,18,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,
LT1:201:08,LT1,2017_67-201-Model,201,LOSA CIELO 1° SUBTERRANEO,both,BOTH,eje 1,BAND,0.0,42.5,0.0,0.0,1,,8,14,,MESH,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,franja sobre eje 1; ancho de franja del plano,mesh,,,,,,,,,,,,,,,,,,,,,,
